"Candidato","Partido","Ordem","Círculo","Efectivo/Suplente"
"Maria Helena Natário Teixeira","MAS- Movimento Alternativa Socialista",4,"Castelo Branco","Efectivo"
"Miguel Gustavo de Matos Pais Neves Dantas","MAS- Movimento Alternativa Socialista",5,"Castelo Branco","Suplente"
"Maria Helena de Freitas Alves Fardilha Beja Lopes","MAS- Movimento Alternativa Socialista",6,"Castelo Branco","Suplente"
"Fernando Barata Joaquim","PTP- Partido Trabalhista Português",1,"Castelo Branco","Efectivo"
"Maria Fernanda Fernandes Ferreira de Sousa","PTP- Partido Trabalhista Português",2,"Castelo Branco","Efectivo"
"João Dias Vargas","PTP- Partido Trabalhista Português",3,"Castelo Branco","Efectivo"
"Maria Caldeira Maior de Abreu","PTP- Partido Trabalhista Português",4,"Castelo Branco","Efectivo"
"Duarte Flores Berguilha","PTP- Partido Trabalhista Português",5,"Castelo Branco","Suplente"
"Ana Soraia Chaves de Barros","PTP- Partido Trabalhista Português",6,"Castelo Branco","Suplente"
"Dora Cristina Pego Lontro","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",1,"Castelo Branco","Efectivo"
"Rafael Esteves Saraiva","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",2,"Castelo Branco","Efectivo"
"Paulo Jorge Cortesão Lopes","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",3,"Castelo Branco","Efectivo"
"Lígia Ribeiro Pinto","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",4,"Castelo Branco","Efectivo"
"Carlos Rafael Maricato Fernandes","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",5,"Castelo Branco","Suplente"
"Almerinda Machado Custódio Lontro","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",6,"Castelo Branco","Suplente"
"João Filipe Dias Ribeiro","CH- CHEGA",1,"Castelo Branco","Efectivo"
"Cátia Filipa Vicente Pinto","CH- CHEGA",2,"Castelo Branco","Efectivo"
"Paulo Jorge de Carvalho Mendes","CH- CHEGA",3,"Castelo Branco","Efectivo"
"Maria da Conceição Martins Pereira","CH- CHEGA",4,"Castelo Branco","Efectivo"
"Pedro Miguel Antunes Dias de Jesus","CH- CHEGA",5,"Castelo Branco","Suplente"
"Micaela Cristina da Costa Canilho Belo","CH- CHEGA",6,"Castelo Branco","Suplente"
"Fernando António Nobre Rosa","CH- CHEGA",7,"Castelo Branco","Suplente"
"Cláudia Sofia Farinha André","PPD/PSD- Partido Social Democrata",1,"Castelo Branco","Efectivo"
"Álvaro Manuel Reis Batista","PPD/PSD- Partido Social Democrata",2,"Castelo Branco","Efectivo"
"Susana Sequeira Salvado","PPD/PSD- Partido Social Democrata",3,"Castelo Branco","Efectivo"
"Diogo Serras Baptista dos Santos","PPD/PSD- Partido Social Democrata",4,"Castelo Branco","Efectivo"
"Norberto Miguel Cabral Bernardo","PPD/PSD- Partido Social Democrata",5,"Castelo Branco","Suplente"
"Gisela Mateus Martins","PPD/PSD- Partido Social Democrata",6,"Castelo Branco","Suplente"
"João Tiago Meruje Matias","PPD/PSD- Partido Social Democrata",7,"Castelo Branco","Suplente"
"Maria de Lourdes Borges Póvoa Pombo Costa","PPD/PSD- Partido Social Democrata",8,"Castelo Branco","Suplente"
"Luís Manuel Botas Eustáquio","R.I.R- Reagir Incluir Reciclar",1,"Évora","Efectivo"
"Carlos Manuel Pinheiro Dias","R.I.R- Reagir Incluir Reciclar",2,"Évora","Efectivo"
"Sílvia Isabel Cardoso Tavares Consciência","R.I.R- Reagir Incluir Reciclar",3,"Évora","Efectivo"
"João Manuel Buinho Coimbra","R.I.R- Reagir Incluir Reciclar",4,"Évora","Suplente"
"Carlos Manuel Augusto Menezes","R.I.R- Reagir Incluir Reciclar",5,"Évora","Suplente"
"Paula Cristina Cachucho Ramos Pena","R.I.R- Reagir Incluir Reciclar",6,"Évora","Suplente"
"Luís Manuel Capoulas Santos","PS- Partido Socialista",1,"Évora","Efectivo"
"Norberto António Lopes Patinho","PS- Partido Socialista",2,"Évora","Efectivo"
"Carmen de Jesus Geraldo Carvalheira","PS- Partido Socialista",3,"Évora","Efectivo"
"Cátia Alexandra Sousa Silva","PS- Partido Socialista",4,"Évora","Suplente"
"Tiago Miguel Sapateiro Capitão Pardal","PS- Partido Socialista",5,"Évora","Suplente"
"Maria Clara Pimenta Martins Safara","PS- Partido Socialista",6,"Évora","Suplente"
"Edalberto Tomás Macau Fitas Figueiredo","CH- CHEGA",1,"Évora","Efectivo"
"Carlos Magno Valença Ferreira Walter de Magalhães","CH- CHEGA",2,"Évora","Efectivo"
"Ana Inês Martins Esquível Pereira","CH- CHEGA",3,"Évora","Efectivo"
"Maria da Conceição de Osório Barbedo Marques Roma","CH- CHEGA",4,"Évora","Suplente"
"David João Nunes Cebola","CH- CHEGA",5,"Évora","Suplente"
"Daniela Alexandra Rodrigues Serrano","CH- CHEGA",6,"Évora","Suplente"
"João Guilherme Ramos Rosa de Oliveira","PCP.PEV- CDU- Coligação Democrática Unitária",1,"Évora","Efectivo"
"Sara Luísa Dimas Fernandes","PCP.PEV- CDU- Coligação Democrática Unitária",2,"Évora","Efectivo"
"Noel Alexandre Fontes Moreira","PCP.PEV- CDU- Coligação Democrática Unitária",3,"Évora","Efectivo"
"Maria da Graça Duarte Nascimento","PCP.PEV- CDU- Coligação Democrática Unitária",4,"Évora","Suplente"
"Sandra Maria Marques Serra Alpiarça","PCP.PEV- CDU- Coligação Democrática Unitária",5,"Évora","Suplente"
"Rui Jorge Felício Palminhas","PCP.PEV- CDU- Coligação Democrática Unitária",6,"Évora","Suplente"
"António Coelho Bernardes de Souza","VP- Volt Portugal",1,"Évora","Efectivo"
"Tiago Batista Romão","VP- Volt Portugal",2,"Évora","Efectivo"
"Filipa Chagas Preto","VP- Volt Portugal",3,"Évora","Efectivo"
"Rosária Maria Correia Carreiro","VP- Volt Portugal",4,"Évora","Suplente"
"Renato Rocha Bernardes de Souza","VP- Volt Portugal",5,"Évora","Suplente"
"Sónia Cristina Silva dos Ramos","PPD/PSD- Partido Social Democrata",1,"Évora","Efectivo"
"Francisco Maria Gonçalves Lopes Figueira","PPD/PSD- Partido Social Democrata",2,"Évora","Efectivo"
"João Carlos de Carvalho Branco Perdigão Marquês","PPD/PSD- Partido Social Democrata",3,"Évora","Efectivo"
"Francisca Maria Rosado da Silva de Sousa","PPD/PSD- Partido Social Democrata",4,"Évora","Suplente"
"Luís Maria Nunes Dos Santos","PPD/PSD- Partido Social Democrata",5,"Évora","Suplente"
"Mónica Cristina Alegrias Lobo","PPD/PSD- Partido Social Democrata",6,"Évora","Suplente"
"Carlos Manuel Vasques Moreira","PTP- Partido Trabalhista Português",1,"Évora","Efectivo"
"Paloma Vanessa Cabeça Lopes","PTP- Partido Trabalhista Português",2,"Évora","Efectivo"
"Maria Violeta Gomes Mendonça","PTP- Partido Trabalhista Português",3,"Évora","Efectivo"
"Carlos Jorge da Silva Cruz","PTP- Partido Trabalhista Português",4,"Évora","Suplente"
"Zulmira Silveira Cabeça","PTP- Partido Trabalhista Português",5,"Évora","Suplente"
"Maria Alexandra Mendes Gil dos Reis Moreira","PAN- PESSOAS - ANIMAIS - NATUREZA",1,"Évora","Efectivo"
"Fernando José Ribeiro Lemos de Oliveira","PAN- PESSOAS - ANIMAIS - NATUREZA",2,"Évora","Efectivo"
"Laura Sofia Tavares Chaves Costa","PAN- PESSOAS - ANIMAIS - NATUREZA",3,"Évora","Efectivo"
"Flávio Miguel dos Santos Andrade","PAN- PESSOAS - ANIMAIS - NATUREZA",4,"Évora","Suplente"
"Raquel Pereira Paula Gonçalves","PAN- PESSOAS - ANIMAIS - NATUREZA",5,"Évora","Suplente"
"Carlos José Martelo Pagará","E- Ergue-te",1,"Évora","Efectivo"
"Ana Maria Santana Pereira Correia","E- Ergue-te",2,"Évora","Efectivo"
"Paulo Jorge Gonçalves Pereira","E- Ergue-te",3,"Évora","Efectivo"
"Carla Cristina Lopes Rosa Martinho","E- Ergue-te",4,"Évora","Suplente"
"Alexandre José Nunes Camossa de Fontes","E- Ergue-te",5,"Évora","Suplente"
"Carla Rute Ramalho Primo Carrapiço","E- Ergue-te",6,"Évora","Suplente"
"Maria Manuela Aniceto Almeida","MAS- Movimento Alternativa Socialista",1,"Évora","Efectivo"
"Violante Maria Letras Cavaco Engrácia","MAS- Movimento Alternativa Socialista",2,"Évora","Efectivo"
"Daniel Salvado Santos de Oliveira Garcia","MAS- Movimento Alternativa Socialista",3,"Évora","Efectivo"
"Daniela Cristina Anico Gazimba Bacalhau","MAS- Movimento Alternativa Socialista",4,"Évora","Suplente"
"Carlos Manuel Ferreira","MAS- Movimento Alternativa Socialista",5,"Évora","Suplente"
"Maria João Escada Cardoso Cabral","IL- Iniciativa Liberal",1,"Évora","Efectivo"
"David Firmino Aparício Dias","IL- Iniciativa Liberal",2,"Évora","Efectivo"
"Raquel Andreia D’Almeida Mendonça de Araújo","IL- Iniciativa Liberal",3,"Évora","Efectivo"
"Mónica Alexandra Freire Cardoso de Mira","IL- Iniciativa Liberal",4,"Évora","Suplente"
"João Francisco Marques Serra Pita Soares","IL- Iniciativa Liberal",5,"Évora","Suplente"
"Fernando Manuel Costa Matos Pinto","IL- Iniciativa Liberal",6,"Évora","Suplente"
"Maria da Glória Capela Tomás Cebola de Almeida Franco","L- LIVRE",1,"Évora","Efectivo"
"Jorge Manuel Henriques Martinho","L- LIVRE",2,"Évora","Efectivo"
"Lúcia Maria Passinhas Janeiro","L- LIVRE",3,"Évora","Efectivo"
"Francisco José Soares da Cruz","L- LIVRE",4,"Évora","Suplente"
"José Severino de Sousa Osório","L- LIVRE",5,"Évora","Suplente"
"João Paulo Moreira Borreicho","MPT- Partido da Terra",1,"Évora","Efectivo"
"Luís Miguel Guerra Godinho","MPT- Partido da Terra",2,"Évora","Efectivo"
"Maria Albertina Pereira da Silva Fernandes","MPT- Partido da Terra",3,"Évora","Efectivo"
"Humberto Manuel dos Reis Fernandes","MPT- Partido da Terra",4,"Évora","Suplente"
"Adosinda Maria Coelho Cardoso Almeida","MPT- Partido da Terra",5,"Évora","Suplente"
"Bruno Manuel dos Santos Martins","BE- Bloco de Esquerda",1,"Évora","Efectivo"
"Joana de Sousa Santos Micaelo","BE- Bloco de Esquerda",2,"Évora","Efectivo"
"Sandra Marina de Sousa Gonçalves Dias","BE- Bloco de Esquerda",3,"Évora","Efectivo"
"Pedro Miguel Nunes Ferreira","BE- Bloco de Esquerda",4,"Évora","Suplente"
"Linda Inês Pinheiro Assunção","BE- Bloco de Esquerda",5,"Évora","Suplente"
"Joaquim Manuel Calado Merca","BE- Bloco de Esquerda",6,"Évora","Suplente"
"Ana Maria Ferreira da Silva da Costa Freitas","CDS-PP- CDS-Partido Popular",1,"Évora","Efectivo"
"Carlos António Mateus Gomes","CDS-PP- CDS-Partido Popular",2,"Évora","Efectivo"
"Raquel Maudslay Costa Carreira","CDS-PP- CDS-Partido Popular",3,"Évora","Efectivo"
"António Luis Pinto Xavier","CDS-PP- CDS-Partido Popular",4,"Évora","Suplente"
"Rita Batista Santana","CDS-PP- CDS-Partido Popular",5,"Évora","Suplente"
"Diogo Miguel Perdigão Amélio","CDS-PP- CDS-Partido Popular",6,"Évora","Suplente"
"Luís Filipe Soromenho Gomes","PPD/PSD- Partido Social Democrata",1,"Faro","Efectivo"
"Rui Celestino dos Santos Cristina","PPD/PSD- Partido Social Democrata",2,"Faro","Efectivo"
"Ofélia Isabel Andrés da Conceição Ramos","PPD/PSD- Partido Social Democrata",3,"Faro","Efectivo"
"Dinis Manuel da Palma Faísca","PPD/PSD- Partido Social Democrata",4,"Faro","Efectivo"
"Álvaro José Martins Viegas","PPD/PSD- Partido Social Democrata",5,"Faro","Efectivo"
"Helena Maria Palhota Dias Simões","PPD/PSD- Partido Social Democrata",6,"Faro","Efectivo"
"Bruno Sousa Costa","PPD/PSD- Partido Social Democrata",7,"Faro","Efectivo"
"Tiago Alexandre Godinho Mateus","PPD/PSD- Partido Social Democrata",8,"Faro","Efectivo"
"Inês Tamissa de Barros","PPD/PSD- Partido Social Democrata",9,"Faro","Efectivo"
"Maria Paula Guerreiro Teixeira Carrusca","PPD/PSD- Partido Social Democrata",10,"Faro","Suplente"
"Carlos Jorge Matias Gonçalves Baía","PPD/PSD- Partido Social Democrata",11,"Faro","Suplente"
"Sílvia Maria Tomé de Sousa Revés","PPD/PSD- Partido Social Democrata",12,"Faro","Suplente"
"Paula Alexandra Xavier Alves de Freitas","PPD/PSD- Partido Social Democrata",13,"Faro","Suplente"
"Joaquim José Martins Cabrita","PPD/PSD- Partido Social Democrata",14,"Faro","Suplente"
"Catarina Alexandra Matos Marques - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",1,"Faro","Efectivo"
"Mário Rodrigo de Sousa Cunha - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",2,"Faro","Efectivo"
"Joana Catarina Quintanova Sanches - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",3,"Faro","Efectivo"
"João Carlos Rodrigues Correia - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",4,"Faro","Efectivo"
"Maria Paula Andrade Santos Vilallonga - PEV","PCP.PEV- CDU- Coligação Democrática Unitária",5,"Faro","Efectivo"
"Maria Clara Vieira de Andrade - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",6,"Faro","Efectivo"
"Nelson Capela Trindade - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",7,"Faro","Efectivo"
"João Carlos Guerreiro Jesus - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",8,"Faro","Efectivo"
"Maria Matilde Barão Afonso Mendonça - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",9,"Faro","Efectivo"
"Luís Renato Seixas Terra Fagundes - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",10,"Faro","Suplente"
"Vergílio Fernandes Frade Ambrósio - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",11,"Faro","Suplente"
"Lígia de Fátima Caldeira Martins - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",12,"Faro","Suplente"
"Adriana Isabel Rodrigues González Cavaco - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",13,"Faro","Suplente"
"Afonso André Ferreira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",14,"Faro","Suplente"
"Henrique Manuel Albuquerque de Seixas","PTP- Partido Trabalhista Português",1,"Faro","Efectivo"
"Isaías Montes Fonseca","PTP- Partido Trabalhista Português",2,"Faro","Efectivo"
"Vanda Andreia de Jesus Flores","PTP- Partido Trabalhista Português",3,"Faro","Efectivo"
"Vicente Paulo Prudêncio Rim","PTP- Partido Trabalhista Português",4,"Faro","Efectivo"
"Assunção de Jesus Nunes Fernandes","PTP- Partido Trabalhista Português",5,"Faro","Efectivo"
"Miguel Jorge Valente do Rego","PTP- Partido Trabalhista Português",6,"Faro","Efectivo"
"Leonardo Monte Serrano","PTP- Partido Trabalhista Português",7,"Faro","Efectivo"
"Climénia de Jesus Ribeiro da Conceição","PTP- Partido Trabalhista Português",8,"Faro","Efectivo"
"Joaquim Guerreiro Cortes","PTP- Partido Trabalhista Português",9,"Faro","Efectivo"
"André Horácio Monteiro Cardoso","PTP- Partido Trabalhista Português",10,"Faro","Suplente"
"Teresa Moisés Lopes","PTP- Partido Trabalhista Português",11,"Faro","Suplente"
"Fábio José Rosa Fatal","E- Ergue-te",1,"Faro","Efectivo"
"Carlos Filipe Marreiros da Luz","E- Ergue-te",2,"Faro","Efectivo"
"Ana Paula Ferreira Nunes Carrega Rocha","E- Ergue-te",3,"Faro","Efectivo"
"Maria Filipa Matoso Leiria Pinto Simões de Carvalho","E- Ergue-te",4,"Faro","Efectivo"
"Luís Pedro Moreira Varela","E- Ergue-te",5,"Faro","Efectivo"
"Francisco Miguel dos Santos Ramos Vilaça Lopes","E- Ergue-te",6,"Faro","Efectivo"
"Sandra Cristina Madeira Reis","E- Ergue-te",7,"Faro","Efectivo"
"Graça Maria Marques Fernandes Rodrigues Costa","E- Ergue-te",8,"Faro","Efectivo"
"Cláudio Alexandre Souto da Silva da Cruz Cebola","E- Ergue-te",9,"Faro","Efectivo"
"José Miguel Palma Lucas dos Santos Rosado","E- Ergue-te",10,"Faro","Suplente"
"Maria Júlia Mesquita de Almeida Santos Ribeiro","E- Ergue-te",11,"Faro","Suplente"
"Vítor Manuel da Silva Matias Bravo","E- Ergue-te",12,"Faro","Suplente"
"Rui Pedro Roupa Curado","R.I.R- Reagir Incluir Reciclar",1,"Faro","Efectivo"
"Davide Miguel Reis Romeira","R.I.R- Reagir Incluir Reciclar",2,"Faro","Efectivo"
"Elsa Maria Amaro Reis","R.I.R- Reagir Incluir Reciclar",3,"Faro","Efectivo"
"João Ruben Jerónimo Rocha e Silva","R.I.R- Reagir Incluir Reciclar",4,"Faro","Efectivo"
"Hugo Miguel Caetano Estrela","R.I.R- Reagir Incluir Reciclar",5,"Faro","Efectivo"
"Sílvia Cristina de Sousa Brazinha","R.I.R- Reagir Incluir Reciclar",6,"Faro","Efectivo"
"Dionísio Miguel Rodrigues Soares","R.I.R- Reagir Incluir Reciclar",7,"Faro","Efectivo"
"Diamantino José de Sousa Coelho","R.I.R- Reagir Incluir Reciclar",8,"Faro","Efectivo"
"Joana Sofia Rodrigues Gomes","R.I.R- Reagir Incluir Reciclar",9,"Faro","Efectivo"
"Miguel Filipe Guerreiro dos Santos","R.I.R- Reagir Incluir Reciclar",10,"Faro","Suplente"
"Suzana Alexandra Lourenço","R.I.R- Reagir Incluir Reciclar",11,"Faro","Suplente"
"João Manuel Madeira Frota Antunes","MAS- Movimento Alternativa Socialista",1,"Faro","Efectivo"
"Sofia Glória Veríssimo Silva Ganhão","MAS- Movimento Alternativa Socialista",2,"Faro","Efectivo"
"Flávia Severino Polido","MAS- Movimento Alternativa Socialista",3,"Faro","Efectivo"
"Hugo André Alves Bastos","MAS- Movimento Alternativa Socialista",4,"Faro","Efectivo"
"Maria da Conceição Nunes de Oliveira Serrano","MAS- Movimento Alternativa Socialista",5,"Faro","Efectivo"
"João António Pina Fernandes","MAS- Movimento Alternativa Socialista",6,"Faro","Efectivo"
"Ana Rita Gonçalves de Almeida","MAS- Movimento Alternativa Socialista",7,"Faro","Efectivo"
"Miguel Nuno Freire de Vasconcelos Gusmão","MAS- Movimento Alternativa Socialista",8,"Faro","Efectivo"
"Eduardo Nuno de Oliveira Garcia","MAS- Movimento Alternativa Socialista",9,"Faro","Efectivo"
"Cristina Pilar Duro Fernandes Pina","MAS- Movimento Alternativa Socialista",10,"Faro","Suplente"
"António Baltazar Gomes","MAS- Movimento Alternativa Socialista",11,"Faro","Suplente"
"José Pedro da Silva Caçorinho","CDS-PP- CDS-Partido Popular",1,"Faro","Efectivo"
"Monica Sofia Guedes Ferreira","CDS-PP- CDS-Partido Popular",2,"Faro","Efectivo"
"Manuel Afonso de Lousada Moreira","CDS-PP- CDS-Partido Popular",3,"Faro","Efectivo"
"Margarida Alexandra Manita Pereira da Cruz Andrade Gouveia","CDS-PP- CDS-Partido Popular",4,"Faro","Efectivo"
"Vasco da Silva Costa Barata Feio","CDS-PP- CDS-Partido Popular",5,"Faro","Efectivo"
"Isilda Maria Mendes Guerreiro","CDS-PP- CDS-Partido Popular",6,"Faro","Efectivo"
"António Augusto Braz da Paz","CDS-PP- CDS-Partido Popular",7,"Faro","Efectivo"
"Maria da Conceição Grade de Sousa Piscarreta","CDS-PP- CDS-Partido Popular",8,"Faro","Efectivo"
"Luís Matias Afonso","CDS-PP- CDS-Partido Popular",9,"Faro","Efectivo"
"Davide Avison Afonso","CDS-PP- CDS-Partido Popular",10,"Faro","Suplente"
"Carolina da Almeida Soto de Assis","CDS-PP- CDS-Partido Popular",11,"Faro","Suplente"
"Maria do Rosário da Silva Viana","CDS-PP- CDS-Partido Popular",12,"Faro","Suplente"
"Hélder dos Santos Pinto","CDS-PP- CDS-Partido Popular",13,"Faro","Suplente"
"Marta Patrícia Gonçalves Marques Caetano","CDS-PP- CDS-Partido Popular",14,"Faro","Suplente"
"Manuel Eurico dos Santos Mestre","MPT- Partido da Terra",1,"Faro","Efectivo"
"Filipe Gonçalo Schneider Hidalgo do Nascimento","MPT- Partido da Terra",2,"Faro","Efectivo"
"Catarina Fernandes Furtado","MPT- Partido da Terra",3,"Faro","Efectivo"
"José Manuel Pinheirinho Mestre","MPT- Partido da Terra",4,"Faro","Efectivo"
"Maria Catarina Encarnação Correia","MPT- Partido da Terra",5,"Faro","Efectivo"
"Tiago André de Assunção Gomes","MPT- Partido da Terra",6,"Faro","Efectivo"
"Paula Margarida dos Santos Mestre e Sousa","MPT- Partido da Terra",7,"Faro","Efectivo"
"Bruno Miguel Santos Garcia","MPT- Partido da Terra",8,"Faro","Efectivo"
"Maria Inês Pinheirinho Mestre","MPT- Partido da Terra",9,"Faro","Efectivo"
"José Manuel dos Mártires Mestre","MPT- Partido da Terra",10,"Faro","Suplente"
"Teresa Maria Campina Correia","MPT- Partido da Terra",11,"Faro","Suplente"
"Ana Luísa Poeta Simões","PAN- PESSOAS - ANIMAIS - NATUREZA",1,"Faro","Efectivo"
"Saúl José Lopes Rosa","PAN- PESSOAS - ANIMAIS - NATUREZA",2,"Faro","Efectivo"
"Alexandre Topete Hipólito Pereira","PAN- PESSOAS - ANIMAIS - NATUREZA",3,"Faro","Efectivo"
"Daniela Marlene da Conceição Duarte","PAN- PESSOAS - ANIMAIS - NATUREZA",4,"Faro","Efectivo"
"Maria João Sacadura e Serrano","PAN- PESSOAS - ANIMAIS - NATUREZA",5,"Faro","Efectivo"
"Armando António Mestre Frade","PAN- PESSOAS - ANIMAIS - NATUREZA",6,"Faro","Efectivo"
"Sara Alexandra Gonçalves dos Santos","PAN- PESSOAS - ANIMAIS - NATUREZA",7,"Faro","Efectivo"
"Abílio de Jesus Nascimento Guerreiro","PAN- PESSOAS - ANIMAIS - NATUREZA",8,"Faro","Efectivo"
"Elza Maria Martins de Sousa Cunha","PAN- PESSOAS - ANIMAIS - NATUREZA",9,"Faro","Efectivo"
"Mónica Cristina Guerra Caldeira","PAN- PESSOAS - ANIMAIS - NATUREZA",10,"Faro","Suplente"
"César Rodrigo Simões Valente","PAN- PESSOAS - ANIMAIS - NATUREZA",11,"Faro","Suplente"
"Ricardo Nuno do Nascimento Vieira da Conceição Cândido","PAN- PESSOAS - ANIMAIS - NATUREZA",12,"Faro","Suplente"
"Isabel Maria Moreira Figueiras","PAN- PESSOAS - ANIMAIS - NATUREZA",13,"Faro","Suplente"
"Pedro Miguel da Silva Glória","PAN- PESSOAS - ANIMAIS - NATUREZA",14,"Faro","Suplente"
"Pedro Miguel Soares Pinto","CH- CHEGA",1,"Faro","Efectivo"
"João Paulo da Silva Graça","CH- CHEGA",2,"Faro","Efectivo"
"Sandra Margarida de Melo Pereira Ribeiro","CH- CHEGA",3,"Faro","Efectivo"
"Sandra Marisa Godinho de Oliveira Castro","CH- CHEGA",4,"Faro","Efectivo"
"António Ricardo Correia Moreira","CH- CHEGA",5,"Faro","Efectivo"
"Raquel Alexandra Matias da Fonseca Pelicano Rodrigues Pereira","CH- CHEGA",6,"Faro","Efectivo"
"Fernando Jorge da Encarnação dos Santos","CH- CHEGA",7,"Faro","Efectivo"
"Anaisa Pera Gonçalves","CH- CHEGA",8,"Faro","Efectivo"
"José Paulo Barbosa Moreira de Sousa","CH- CHEGA",9,"Faro","Efectivo"
"Maria Manuela Agostinho Gomes Cardoso","CH- CHEGA",10,"Faro","Suplente"
"António José de Figueiredo Martins da Luz","CH- CHEGA",11,"Faro","Suplente"
"Maria Lurdes Rego Alemão","CH- CHEGA",12,"Faro","Suplente"
"David Jorge Gomes da Costa","CH- CHEGA",13,"Faro","Suplente"
"Pedro Rafael de Oliveira Ferreira","CH- CHEGA",14,"Faro","Suplente"
"Jamila Bárbara Madeira e Madeira","PS- Partido Socialista",1,"Faro","Efectivo"
"Jorge Manuel Nascimento Botelho","PS- Partido Socialista",2,"Faro","Efectivo"
"Luís Miguel da Graça Nunes","PS- Partido Socialista",3,"Faro","Efectivo"
"Isabel Cristina Andrez Guerreiro Bica","PS- Partido Socialista",4,"Faro","Efectivo"
"Francisco José Pereira Oliveira","PS- Partido Socialista",5,"Faro","Efectivo"
"Tatiana Henriques Homem de Gouveia","PS- Partido Socialista",6,"Faro","Efectivo"
"Ana Sofia Belchior da Silva Ferreira","PS- Partido Socialista",7,"Faro","Efectivo"
"Abel Filipe dos Santos Matinhos","PS- Partido Socialista",8,"Faro","Efectivo"
"Célia Maria Marques da Rosa Paz","PS- Partido Socialista",9,"Faro","Efectivo"
"Pedro Miguel Chaveca de Ornelas","PS- Partido Socialista",10,"Faro","Suplente"
"Luís Guilhermino Gomes Afonso Anacleto","PS- Partido Socialista",11,"Faro","Suplente"
"Maria Paula Dias da Silva Couto","PS- Partido Socialista",12,"Faro","Suplente"
"Luís António Rosário Veríssimo","PS- Partido Socialista",13,"Faro","Suplente"
"António Henrique Cabrita","PS- Partido Socialista",14,"Faro","Suplente"
"Marta Gutierres Nobre Ramos Setúbal","L- LIVRE",1,"Faro","Efectivo"
"Manuel Cândido Nunes Mariano","L- LIVRE",2,"Faro","Efectivo"
"Carla Sofia Natividade Emídio do Carmo","L- LIVRE",3,"Faro","Efectivo"
"Carlos David da Loura Marques","L- LIVRE",4,"Faro","Efectivo"
"Ana Sofia Dias Marcelino","L- LIVRE",5,"Faro","Efectivo"
"Francisco António do Espirito Santo da Fonseca Taveira","L- LIVRE",6,"Faro","Efectivo"
"Maria João Duarte Nobre Pereira Bernardo","L- LIVRE",7,"Faro","Efectivo"
"Luís Eugénio Castanheira da Conceição","L- LIVRE",8,"Faro","Efectivo"
"Rosa Maria Cardoso de Resende Palma Dias","L- LIVRE",9,"Faro","Efectivo"
"João David Barata Rodrigues","L- LIVRE",10,"Faro","Suplente"
"Miguel Cisneiros e Faria Lourenço","L- LIVRE",11,"Faro","Suplente"
"José Guilherme Figueiredo Nobre de Gusmão","BE- Bloco de Esquerda",1,"Faro","Efectivo"
"Igor Miguel Gago","BE- Bloco de Esquerda",2,"Faro","Efectivo"
"Sandra Cristina Ferreira da Costa","BE- Bloco de Esquerda",3,"Faro","Efectivo"
"Inês Margarida Marreiros Gonçalves","BE- Bloco de Esquerda",4,"Faro","Efectivo"
"João Miguel Mendes Faria Paulos Varela","BE- Bloco de Esquerda",5,"Faro","Efectivo"
"Maria Helena de Almeida Barão e Baião","BE- Bloco de Esquerda",6,"Faro","Efectivo"
"Aníbal Acácio Mendes Coutinho","BE- Bloco de Esquerda",7,"Faro","Efectivo"
"Célia Maria Alves Gonçalves","BE- Bloco de Esquerda",8,"Faro","Efectivo"
"Jorge Manuel Albano da Encarnação Ramos","BE- Bloco de Esquerda",9,"Faro","Efectivo"
"João Miguel Correia Rodrigues","BE- Bloco de Esquerda",10,"Faro","Suplente"
"Joaquina Maria Rosa Lourenço","BE- Bloco de Esquerda",11,"Faro","Suplente"
"Adriana de Mendonça Bravo Cotovio","BE- Bloco de Esquerda",12,"Faro","Suplente"
"Carlos Alberto Aboim de Brito","BE- Bloco de Esquerda",13,"Faro","Suplente"
"Alexandra Valentina Mendes Macedo de Melo Alvim","BE- Bloco de Esquerda",14,"Faro","Suplente"
"Bruno Miguel Assis Ribeiro","VP- Volt Portugal",1,"Faro","Efectivo"
"Alexandra Gonçalves Jara","VP- Volt Portugal",2,"Faro","Efectivo"
"Yannick Schade","VP- Volt Portugal",3,"Faro","Efectivo"
"Catarina Severino Soares","VP- Volt Portugal",4,"Faro","Efectivo"
"Zacarias Lívio da Costa Pinheiro","VP- Volt Portugal",5,"Faro","Efectivo"
