"Candidato","Partido","Ordem","Círculo","Efectivo/Suplente"
"Sandra Marisa Queiroz Ferreira da Silva","CDS-PP- CDS-Partido Popular",9,"Aveiro","Efectivo"
"Carlos Augusto Oliveira Valente","CDS-PP- CDS-Partido Popular",10,"Aveiro","Efectivo"
"António Jesus Falcão Pereira","CDS-PP- CDS-Partido Popular",11,"Aveiro","Efectivo"
"Sandra Cristina Calisto Roque","CDS-PP- CDS-Partido Popular",12,"Aveiro","Efectivo"
"Sandra Isabel Silva Melo de Almeida","CDS-PP- CDS-Partido Popular",13,"Aveiro","Efectivo"
"Pedro Tomás Pereira Marques","CDS-PP- CDS-Partido Popular",14,"Aveiro","Efectivo"
"Ana Patrícia Vinhal Matos Sanches","CDS-PP- CDS-Partido Popular",15,"Aveiro","Efectivo"
"Marco António Dias Carvalho","CDS-PP- CDS-Partido Popular",16,"Aveiro","Efectivo"
"Carlota de Oliveira Miranda","CDS-PP- CDS-Partido Popular",17,"Aveiro","Suplente"
"Daniel José Valente Oliveira","CDS-PP- CDS-Partido Popular",18,"Aveiro","Suplente"
"Lucília Maria Pinho das Neves Mateus","CDS-PP- CDS-Partido Popular",19,"Aveiro","Suplente"
"José Manuel de Jesus Laranjeira","CDS-PP- CDS-Partido Popular",20,"Aveiro","Suplente"
"André de Campos Silvestre Fevereiro Chambel","CDS-PP- CDS-Partido Popular",21,"Aveiro","Suplente"
"Anselmo Filipe Brandão Gonçalves de Oliveira","E- Ergue-te",1,"Aveiro","Efectivo"
"Carlos Bernardino Brandão Teixeira","E- Ergue-te",2,"Aveiro","Efectivo"
"Herondina Joaquina de Almeida Figueiredo Araújo","E- Ergue-te",3,"Aveiro","Efectivo"
"Irene Cristina de Sousa Cardoso","E- Ergue-te",4,"Aveiro","Efectivo"
"Rui Filipe Fardilho Reis","E- Ergue-te",5,"Aveiro","Efectivo"
"José Joaquim Vergueiro de Sousa Pereira Osório","E- Ergue-te",6,"Aveiro","Efectivo"
"Olga Sofia Vaz de Aguiar Gaspar","E- Ergue-te",7,"Aveiro","Efectivo"
"Nelson Miguel de Sousa dos Santos","E- Ergue-te",8,"Aveiro","Efectivo"
"Hugo Manuel dos Santos Florêncio","E- Ergue-te",9,"Aveiro","Efectivo"
"Cristina Rafaela da Silva Oliveira","E- Ergue-te",10,"Aveiro","Efectivo"
"Sérgio Manuel Silva Santos","E- Ergue-te",11,"Aveiro","Efectivo"
"Pedro Miguel Azevedo Freitas","E- Ergue-te",12,"Aveiro","Efectivo"
"Crisália Joaquina Almeida Figueiredo Araújo","E- Ergue-te",13,"Aveiro","Efectivo"
"Joaquim Artur Pereira Westermam","E- Ergue-te",14,"Aveiro","Efectivo"
"Diamantino Silva Lopes","E- Ergue-te",15,"Aveiro","Efectivo"
"Maria Elvira Teixeira Brandão","E- Ergue-te",16,"Aveiro","Efectivo"
"Maria Adília Brandão Azevedo","E- Ergue-te",17,"Aveiro","Suplente"
"Vítor Hugo Tavares Araújo","E- Ergue-te",18,"Aveiro","Suplente"
"Carminda Maria dos Santos Silva","E- Ergue-te",19,"Aveiro","Suplente"
"André Ricardo Fernandes Correia","E- Ergue-te",20,"Aveiro","Suplente"
"Daniel Pereira Martins","MAS- Movimento Alternativa Socialista",1,"Aveiro","Efectivo"
"Inês Neto da Silva","MAS- Movimento Alternativa Socialista",2,"Aveiro","Efectivo"
"Estevão Lavado Espadilho","MAS- Movimento Alternativa Socialista",3,"Aveiro","Efectivo"
"Rodrigo Machado Nogueira","MAS- Movimento Alternativa Socialista",4,"Aveiro","Efectivo"
"Nídia Filipa dos Reis Moreira","MAS- Movimento Alternativa Socialista",5,"Aveiro","Efectivo"
"Cristina Maria Coutinho Ferreira","MAS- Movimento Alternativa Socialista",6,"Aveiro","Efectivo"
"Lino Miguel Fernandes de Oliveira","MAS- Movimento Alternativa Socialista",7,"Aveiro","Efectivo"
"Ana Rosa Rodrigues Vendas Fernandes","MAS- Movimento Alternativa Socialista",8,"Aveiro","Efectivo"
"Filipa Marina da Silva Martins","MAS- Movimento Alternativa Socialista",9,"Aveiro","Efectivo"
"João Paulo Torres dos Santos","MAS- Movimento Alternativa Socialista",10,"Aveiro","Efectivo"
"Maria dos Prazeres Coutinho da Silva Pinho","MAS- Movimento Alternativa Socialista",11,"Aveiro","Efectivo"
"Maria Adelaide Lima de Pinho","MAS- Movimento Alternativa Socialista",12,"Aveiro","Efectivo"
"Paulo Manuel Carvalho Machado","MAS- Movimento Alternativa Socialista",13,"Aveiro","Efectivo"
"Zélia Maria Silva Coutinho Branco","MAS- Movimento Alternativa Socialista",14,"Aveiro","Efectivo"
"Rosinda Helena de Jesus Marta","MAS- Movimento Alternativa Socialista",15,"Aveiro","Efectivo"
"Paulo Jorge dos Santos Vasconcelos","MAS- Movimento Alternativa Socialista",16,"Aveiro","Efectivo"
"Arminda Conceição Coutinho Silva Ferreira","MAS- Movimento Alternativa Socialista",17,"Aveiro","Suplente"
"Rúben Leonardo Martins Silva","MAS- Movimento Alternativa Socialista",18,"Aveiro","Suplente"
"Joana Ferreira Filipe","L- LIVRE",1,"Aveiro","Efectivo"
"João Quintela Santos","L- LIVRE",2,"Aveiro","Efectivo"
"Aurora Celeste Coelho e Silva Cerqueira","L- LIVRE",3,"Aveiro","Efectivo"
"Tiago Daniel Vieira da Cruz","L- LIVRE",4,"Aveiro","Efectivo"
"Laetitia da Costa","L- LIVRE",5,"Aveiro","Efectivo"
"Miguel Duarte Gonçalves","L- LIVRE",6,"Aveiro","Efectivo"
"Maria Teresa Braga Paixão de Almeida Leitão","L- LIVRE",7,"Aveiro","Efectivo"
"Martim Miguel Gomes da Costa de Brito Barreto","L- LIVRE",8,"Aveiro","Efectivo"
"Cristina Maria Ramalheira de Araújo","L- LIVRE",9,"Aveiro","Efectivo"
"Gonçalo Salvador Ribeiro e Castro","L- LIVRE",10,"Aveiro","Efectivo"
"Sofia Perestrelo de Vasconcelos Cardoso Pereira","L- LIVRE",11,"Aveiro","Efectivo"
"Robert Andros Martins Junqueira","L- LIVRE",12,"Aveiro","Efectivo"
"Gabriela Ferreira Pinho Souto de Miranda","L- LIVRE",13,"Aveiro","Efectivo"
